,,,,,,,,,,,,,,,"Do not use in model, ok to use to test",
HV57WLA,2021-04-05,poor,13.5,"83,000",2,partial,MINI,Hatch,,,Yellow,,"£1,576",,"£1,152","£1,316"
EO10ZDS,2021-04-05,poor,11,"78,000",3,partial,Mazda,Mazda3,,,Black,,"£1,811",,"£2,000","£1,292"
KV13JXM,2021-04-05,good,8.1,"81,918",3,full,Audi,A5,,,Black,,"£6,529",,"£6,598","£5,828"
RF15URD,2021-04-05,average,6,"65,800",2,full,SKODA,Superb,,,Black,,"£7,621",,"£6,856","£6,016"
FE13BRF,2021-04-05,average,8,"72,000",1,partial,Ford,Fiesta,,,Black,,"£3,234",,"£2,880","£2,608"
DU10HGX,2021-04-05,good,11,"42,000",3,partial,Honda,Civic,,,Black,,"£4,390",,"£4,314","£4,018"
EJ11AUL,2021-04-05,good,9.9,"108,000",2,full,Audi,A3,,,Black,,"£2,357",,"£2,132","£2,467"
CK65GKJ,2021-04-05,average,5.4,"68,000",2,full,Mercedes-Benz,GLE Class,,,Black,,"£24,651",,"£23,866","£21,432"
MS60TTE,2021-04-05,good,7.6,"89,000",2,partial,MINI,Countryman,,,Grey,,"£3,701",,"£3,186","£3,783"
KY65SZL,2021-04-05,good,5.6,"79,000",2,partial,Peugeot,208,,,Grey,,"£3,183",,"£3,285","£2,867"
LN59RYH,2021-04-05,good,11.6,"122,874",4,partial,BMW,3 Series,,,Grey,,"£2,591",,"£1,403","£1,645"
SE08KZR,2021-04-05,poor,12.6,"82,072",3,partial,Ford,Focus,,,Silver,,"£1,687",,£677,£987
YC12CPZ,2021-04-05,poor,8.9,"121,000",3,partial,Alfa Romeo,Giulietta,,,Black,,"£1,946",,"£1,595","£1,504"
CK59UBF,2021-04-05,poor,11.2,"125,000",2,none,Nissan,Qashqai,,,Black,,"£1,488",,"£1,014","£1,245"
LO63DHD,2021-04-05,excellent,7.3,"50,700",1,full,BMW,3 Series,,,White,,"£8,411",,"£9,215","£8,930"
MM62DXB,2021-04-05,good,8.1,"29,174",1,full,Nissan,Note,,,Blue,,"£4,057",,"£3,684","£3,830"
YW14FFP,2021-04-05,poor,6.6,"80,000",3,partial,Vauxhall,Astra GTC,,,White,,"£3,717",,"£3,311","£2,820"
CK64CAO,2021-04-05,average,6.4,"78,000",2,none,Ford,Focus,,,Black,,"£3,939",,"£3,718","£3,736"
GM14VCW,2021-04-05,excellent,6.8,"55,000",0,partial,Hyundai,i10,,,Grey,,"£2,514",,"£2,820","£2,820"
EK58LWF,2021-04-05,poor,12.5,"89,000",3,partial,BMW,3 Series,,,Silver,,"£2,602",,"£2,064","£1,809"
WD12UXG,2021-04-05,good,9,"85,000",3,partial,Land Rover,Discovery 4,,,Black,,"£13,805",,"£13,518","£11,656"
JU57NMS,2021-04-05,good,6.2,"68,000",1,full,Volkswagen,Golf,,,Blue,,"£13,602",,"£12,759","£12,408"
SA15AZT,2021-04-05,good,5.7,"120,000",3,partial,Jeep,Renegade,,,Red,,"£5,051",,"£4,286","£4,747"
RF12CHV,2021-04-05,good,8.8,"55,000",1,full,SKODA,Citigo,,,Silver,,"£2,452",,"£1,882","£1,880"
LC14SYJ,2021-04-05,good,6.7,"36,198",4,full,Audi,A3,,,White,,"£7,202",,"£6,568","£7,426"
JA53XLH,2021-04-05,poor,13.1,"122,000",2,partial,Ford,C-Max,,,Blue,,£232,,£318,£305
KW13AEP,2021-04-05,good,7.7,"95,000",1,partial,BMW,5 Series,,,Black,,"£5,673",,"£5,309","£5,405"
WN08UGL,2021-04-05,average,13,"73,860",4,partial,Fiat,Grande Punto,,,Black,,£512,,£419,£493
LN60XEZ,2021-04-05,average,10.5,"89,000",2,partial,Ford,Focus,,,Red,,"£1,332",,£667,"£1,104"
EN11SXU,2021-04-05,average,9.8,"98,000",3,full,Fiat,500,,,White,,"£1,297",,£613,£963
LC56CLX,2021-04-05,poor,14.5,"41,600",2,partial,Kia,Picanto,,,Blue,,£471,,£477,£352
2181W,2021-04-05,good,10.7,"49,000",2,full,Volkswagen,Scirocco,,,Grey,,"£5,560",,"£4,314","£4,606"
MW61WPK,2021-04-05,average,9.2,"56,000",2,none,Vauxhall,Corsa,,,Brown,,"£1,842",,"£1,014","£1,527"
SM06UPV,2021-04-05,good,14.9,"73,000",2,partial,BMW,3 Series,,,Black,,"£1,637",,"£1,600","£1,715"
RK12ULO,2021-04-05,good,9.1,"38,999",1,partial,Vauxhall,Corsa,,,Grey,,"£2,090",,"£1,765","£2,021"
AV13JXG,2021-04-05,excellent,7.8,"46,000",1,partial,Audi,A1,,,Red,,"£6,781",,"£7,000","£7,003"
ST15CEV,2021-04-05,good,6,"39,000",1,full,Vauxhall,Corsa,,,Red,,"£3,308",,"£3,402","£3,149"
BG07NBM,2021-04-05,average,13.9,"136,000",4,partial,Citroen,Grand C4 Picasso,,,Purple,,£360,,£342,£399
CN64VAO,2021-04-05,good,6.6,"83,000",1,full,Ford,Kuga,,,White,,"£5,430",,"£5,159","£5,217"
EO61SXP,2021-04-05,good,9.6,"143,000",1,full,Ford,Fiesta,,,White,,"£1,095",,£727,"£1,128"
SM12KOD,2021-04-05,good,8.9,"82,000",2,full,Ford,Fiesta,,,White,,"£1,903",,"£1,695","£1,927"
YC63VRO,2021-04-05,average,7.3,"91,900",3,partial,Volvo,V40,,,Grey,,"£3,849",,"£3,236","£3,736"
SJ55MUM,2021-04-05,average,12.3,"98,500",4,partial,Mercedes-Benz,M Class,,,Black,,"£4,467",,"£3,459","£3,102"
LC59AOT,2021-04-05,good,11.4,"60,000",3,partial,Smart,fortwo,,,White,,"£1,580",,"£1,168","£1,339"
RV09NLJ,2021-04-05,average,12.1,"170,000",1,partial,Audi,A6 Saloon,,,Silver,,£541,,£744,"£1,128"
SH09YOM,2021-04-05,average,11.9,"150,000",2,partial,Nissan,Qashqai,,,Black,,£742,,£598,£799
SV61PWY,2021-04-05,average,9.6,"65,000",1,partial,Honda,Civic,,,Blue,,"£3,106",,"£2,592","£2,702"
MT09JJU,2021-04-05,good,11.8,"96,000",2,full,Toyota,Auris,,,Black,,"£1,094",,£759,"£1,245"
RK57VLZ,2021-04-05,good,13.6,"125,000",2,full,Audi,Q7,,,Grey,,"£4,550",,"£4,314","£4,230"
BG63WTL,2021-04-05,good,7.3,"39,000",2,partial,Ford,Focus,,,Silver,,"£4,113",,"£3,182","£4,206"
CK07RNF,2021-04-05,average,14,"120,000",3,full,Volkswagen,Golf,,,Silver,,"£2,632",,"£2,221","£1,927"
NU11LGG,2021-04-05,average,9.9,"96,000",2,full,Chevrolet,Aveo,,,Black,,£189,,£181,£352
SW12DXB,2021-04-05,average,8.9,"92,500",1,partial,Vauxhall,Zafira,,,Black,,"£1,486",,£975,"£1,292"
ML59JML,2021-04-05,excellent,11.5,"64,500",2,full,Vauxhall,Insignia,,,Grey,,"£1,241",,"£1,500","£1,269"
CT12APT,2021-04-05,good,3.5,"61,000",2,full,Hyundai,i30,,,Red,,"£6,589",,"£6,443","£6,580"
YX10YXB,2021-04-05,average,11,"29,000",2,full,MINI,Hatch,,,Silver,,"£3,917",,"£2,885","£3,055"
VK11XDL,2021-04-05,good,10,"86,000",3,partial,Audi,A1,,,Brown,,"£3,352",,"£2,977","£3,243"
DN16WCT,2021-04-05,good,5,"95,000",1,full,Vauxhall,Insignia,,,Red,,"£3,243",,"£3,209","£3,196"
EX13WJA,2021-04-05,good,8,"79,000",2,partial,Hyundai,i30,,,Grey,,"£2,715",,"£2,045","£2,491"
MD63PHO,2021-04-05,good,7.1,"86,955",3,partial,Ford,Fiesta,,,White,,"£2,510",,"£1,891","£2,514"
EK56RAU,2021-04-05,average,14.5,"78,790",3,partial,Ford,Fiesta,,,Black,,£554,,£396,£470
GK13DJE,2021-04-05,good,8.1,"53,000",2,full,Audi,A6 Saloon,,,Silver,,"£6,240",,"£5,625","£5,828"
KP09FVE,2021-04-05,average,11.9,"65,000",2,partial,Mercedes-Benz,B Class,,,Blue,,"£2,461",,"£2,045","£2,091"
RO61EFX,2021-04-05,poor,9.6,"100,622",1,full,Ford,Mondeo,,,Silver,,"£2,572",,"£1,809","£1,621"
FT62HLV,2021-04-05,good,8.2,"79,000",2,none,Kia,Sportage,,,White,,"£5,339",,"£4,314","£5,029"
MT61YDX,2021-04-05,excellent,9.2,"59,650",2,full,Land Rover,Range Rover,,,Grey,,"£14,813",,"£15,305","£13,019"
Y25VEN,2021-04-05,good,7.5,"83,000",3,partial,Volkswagen,Golf,,,Grey,,"£4,633",,"£3,716","£4,371"
R3GOV,2021-04-05,good,6.7,"91,782",2,full,SEAT,Leon,,,Grey,,"£3,666",,"£3,318","£3,407"
VU56WXF,2021-04-05,average,14.4,"135,000",2,none,Ford,S-Max,,,Silver,,£626,,£483,£705
EN62NWE,2021-04-05,poor,8.2,"58,923",2,partial,Citroen,C1,,,Blue,,"£1,540",,"£1,076","£1,010"
SW11FHP,2021-04-05,average,9.8,"49,000",2,none,Vauxhall,Corsa,,,Silver,,"£1,521",,£954,"£1,504"
LX63XYF,2021-04-05,good,7.4,"20,000",0,full,Kia,Rio,,,Grey,,"£4,206",,"£3,291","£3,971"
FL13XSB,2021-04-05,average,7.8,"102,450",2,none,Ford,Fiesta,,,Blue,,"£1,902",,"£1,411","£1,880"
PL08PVT,2021-04-05,poor,12.7,"85,000",3,partial,Vauxhall,Corsa,,,Blue,,£643,,£417,£446
YG12RUW,2021-04-05,good,9.1,"122,000",3,partial,Kia,Sportage,,,Black,,"£3,062",,"£2,750","£2,843"
OY06ABK,2021-04-05,good,15.1,"95,000",2,partial,Audi,A3,,,Black,,"£1,265",,£686,"£1,198"
LIG4054,2021-04-05,good,8.1,"34,000",2,full,Citroen,DS3,,,Red,,"£3,219",,"£2,409","£2,867"
GV58BLX,2021-04-05,good,12.2,"43,000",3,partial,Peugeot,207 SW,,,Grey,,"£1,841",,£620,"£1,010"
FL57NDC,2021-04-05,good,13.6,"96,500",1,partial,Volkswagen,Polo,,,Silver,,"£1,351",,£864,"£1,081"
WM63LEJ,2021-04-05,average,7.6,"71,500",2,none,Peugeot,3008,,,White,,"£3,555",,"£2,807","£3,337"
GY64EWH,2021-04-05,average,6.4,"66,641",1,full,Toyota,Yaris,,,Black,,"£5,371",,"£5,168","£5,076"
MK60WYA,2021-04-05,poor,10.6,"50,480",2,full,Volkswagen,Fox,,,Yellow,,"£1,078",,£663,£893
SG57CZZ,2021-04-05,good,13.4,"88,300",2,full,Suzuki,Grand Vitara,,,Beige,,"£1,427",,"£1,200","£1,504"
CU13OZD,2021-04-05,good,8,"90,000",3,partial,Vauxhall,Zafira,,,White,,"£1,767",,"£1,559","£1,715"
GD14GNN,2021-04-05,average,6.9,"190,000",2,partial,Volkswagen,Passat,,,White,,"£1,240",,£954,"£1,433"
PY12NFH,2021-04-05,average,9.1,"76,000",2,full,SKODA,Fabia,,,Blue,,"£3,224",,"£2,473","£2,561"
YK11MYL,2021-04-05,good,10.1,"103,000",1,partial,Peugeot,107,,,Silver,,£577,,£504,£822
G17OBR,2021-04-05,average,5.5,"60,000",2,partial,Nissan,Pulsar,,,White,,"£4,057",,"£3,641","£3,595"
BV64LBE,2021-04-05,good,6.2,"60,000",1,partial,Vauxhall,Astra,,,White,,"£3,133",,"£3,032","£3,266"
WL08FEP,2021-04-05,good,12.7,"55,000",2,full,Fiat,Panda,,,Orange,,£357,,£459,£376
FE13UZD,2021-04-05,good,8,"38,300",2,partial,Nissan,Qashqai+2,,,White,,"£5,991",,"£5,309","£6,204"
DN07KXJ,2021-04-05,poor,13.8,"130,000",2,partial,Vauxhall,Astra,,,Grey,,£150,,£130,£188
WP13AEB,2021-04-05,average,7.8,"151,000",2,full,Volvo,V40,,,Grey,,"£2,170",,"£1,644","£1,809"
OY13WLO,2021-04-05,good,7.9,"97,000",2,partial,Honda,Civic,,,Brown,,"£2,811",,"£2,227","£2,937"
FV07YZP,2021-04-05,poor,13.7,"117,000",3,none,Ford,C-Max,,,Blue,,£150,,£275,£282
HK65CFO,2021-04-05,average,5.2,"90,000",1,full,BMW,3 Series,,,Black,,"£6,598",,"£5,762","£5,875"
GV09URC,2021-04-05,average,11.7,"98,000",1,full,Peugeot,107,,,Blue,,£471,,£442,£587
FD57DXW,2021-04-05,average,13.5,"52,134",2,none,Nissan,X-Trail,,,Grey,,"£2,979",,"£1,996","£2,162"
LX06OTE,2021-04-05,good,15.1,"101,000",2,full,Mercedes-Benz,C Class,,,Blue,,£627,,£796,"£1,010"
WR65CEU,2021-04-05,good,5.5,"66,000",1,full,Fiat,500X,,,Blue,,"£4,815",,"£4,811","£4,535"
MV57CGE,2021-04-05,poor,13.6,"118,000",4,none,Volkswagen,Beetle,,,Red,,£150,,£307,£376
YH59FPT,2021-04-05,good,11.5,"86,000",3,full,BMW,1 Series,,,Blue,,"£2,655",,"£2,409","£2,373"
YC17WXP,2021-04-05,good,4,"60,500",2,full,Land Rover,Discovery,,,Grey,,"£27,550",,"£28,168","£24,910"
FE13WCW,2021-04-05,poor,8.1,"56,000",1,full,Nissan,Juke,,,White,,"£3,373",,"£2,638","£2,420"
OU12ZGF,2021-04-05,poor,9.1,"58,020",1,partial,Fiat,500,,,Black,,"£2,185",,"£1,680","£1,574"
NJ13VOO,2021-04-05,good,8.1,"64,000",1,partial,BMW,3 Series,,,White,,"£5,377",,"£5,309","£5,217"
GXZ3584,2021-04-05,average,6.7,"40,000",3,full,Vauxhall,Zafira,,,Brown,,"£3,356",,"£2,738","£2,961"
AV59CGK,2021-04-05,poor,11.5,"51,500",1,full,Fiat,Panda,,,Blue,,£714,,£597,£493
YH11TCY,2021-04-05,good,10,"109,000",2,full,Volkswagen,Golf,,,Blue,,"£2,760",,"£2,409","£2,702"
SD60GWE,2021-04-05,average,10.3,"120,000",4,none,Saab,9-3,,,White,,"£1,299",,£691,£963
NG10CTZ,2021-04-05,good,10.7,"73,000",1,none,Vauxhall,Corsa,,,White,,"£1,013",,£575,"£1,034"
CA65WVO,2021-04-05,average,5.2,"36,000",0,partial,Renault,Clio,,,White,,"£3,923",,"£3,855","£3,595"
BU63FWY,2021-04-05,good,7.4,"104,000",1,partial,Audi,A6 Avant,,,Black,,"£8,091",,"£7,148","£7,567"
VU09YCV,2021-04-05,poor,11.7,"43,286",3,partial,Ford,Ka,,,Blue,,"£1,124",,£694,£846
VA16XNR,2021-04-05,good,4.6,"89,400",2,full,Ford,Mondeo,,,Grey,,"£6,087",,"£5,866","£5,828"
YP63UOD,2021-04-05,poor,7.2,"53,000",3,partial,Ford,Ka,,,Red,,"£2,461",,"£1,600","£1,692"
FN63YXP,2021-04-05,good,7.6,"38,000",1,full,Citroen,Grand C4 Picasso,,,Silver,,"£4,526",,"£3,706","£4,488"
YT62JDJ,2021-04-05,excellent,8.6,"44,060",2,none,Ford,Galaxy,,,Silver,,"£4,560",,"£3,500","£3,642"
L15CPM,2021-04-05,average,12.3,"95,000",2,full,Audi,A5,,,Red,,"£3,781",,"£3,422","£3,337"
YH64POJ,2021-04-05,good,6.5,"29,650",2,full,Vauxhall,ADAM,,,Blue,,"£3,532",,"£3,318","£3,431"
BW15NLZ,2021-04-05,good,5.7,"78,000",1,full,Kia,Sportage,,,Silver,,"£5,494",,"£5,288","£5,593"
DF10KNN,2021-04-05,average,10.7,"91,000",3,partial,Mazda,Mazda3,,,Grey,,"£1,268",,£828,"£1,245"
SH64MXS,2021-04-05,excellent,6.4,"103,000",1,full,Volkswagen,Golf,,,Black,,"£4,887",,"£4,735","£4,747"
DG63ZNV,2021-04-06,good,7.5,"87,000",1,partial,SKODA,Superb,,,Purple,,"£5,574",,"£4,784","£4,841"
LB14KXV,2021-04-06,good,6.7,"38,000",0,partial,Vauxhall,Corsa,,,Blue,,"£2,718",,"£2,409","£2,726"
KR63EYX,2021-04-06,good,7.4,"106,000",4,partial,Audi,A6 Avant,,,Grey,,"£7,452",,"£6,514","£6,909"
EX13WJA,2021-04-06,good,8,"68,500",1,partial,Hyundai,i30,,,Grey,,"£2,937",,"£2,409","£2,702"
EF09JVC,2021-04-06,poor,11.7,"100,000",2,full,Ford,Focus,,,Blue,,£989,,£477,£752
SB61OBO,2021-04-06,average,9.3,"30,000",2,partial,Nissan,Micra,,,Black,,"£2,776",,"£2,349","£2,538"
HN12ZNW,2021-04-06,excellent,8.8,"63,000",1,full,Toyota,Yaris,,,Silver,,"£2,704",,"£3,130","£2,843"
KP14KNR,2021-04-06,good,6.9,"68,000",2,full,Mercedes-Benz,C Class,,,Silver,,"£6,230",,"£6,305","£5,781"
BJ58PUV,2021-04-06,average,12.4,"58,000",1,full,Honda,Civic,,,Grey,,"£2,558",,"£2,221","£2,326"
LR63LUE,2021-04-06,good,7.5,"76,000",2,partial,Mercedes-Benz,SLK,,,Black,,"£6,744",,"£7,371","£6,627"
CP14EWR,2021-04-06,good,6.8,"66,000",2,full,BMW,1 Series,,,White,,"£5,093",,"£4,811","£5,311"
B10OML,2021-04-06,good,8.6,"57,000",0,full,Audi,A1,,,Red,,"£5,744",,"£5,744","£5,593"
FN15OJB,2021-04-06,average,6,"70,000",1,full,Volvo,V40 Cross Country,,,Black,,"£5,567",,"£4,992","£4,747"
YE10DBX,2021-04-06,poor,10.9,"110,000",3,partial,BMW,1 Series,,,Blue,,"£2,104",,"£1,706","£1,668"
CA13CLD,2021-04-06,good,7,"32,000",2,full,Citroen,DS3,,,Red,,"£3,271",,"£2,773","£3,102"
X6JKT,2021-04-06,good,11,"130,000",3,full,BMW,5 Series,,,Grey,,"£3,932",,"£3,054","£3,243"
KP09FVE,2021-04-06,average,11.9,"65,000",2,partial,Mercedes-Benz,B Class,,,Blue,,"£2,412",,"£2,070","£2,091"
NX63VPW,2021-04-06,good,7.6,"30,000",0,full,Volkswagen,up!,,,Blue,,"£2,861",,"£2,545","£2,843"
FE13UZD,2021-04-06,good,8,"38,500",2,partial,Nissan,Qashqai+2,,,White,,"£5,973",,"£5,309","£6,204"
HY10UND,2021-04-06,good,8.1,"82,000",4,partial,Hyundai,Santa Fe,,,Orange,,"£8,729",,"£8,620","£7,708"
RJ60JVT,2021-04-06,good,6.5,"80,000",2,full,Volkswagen,up!,,,Blue,,"£2,347",,"£2,200","£2,303"
L88JFH,2021-04-06,good,6.5,"63,000",2,partial,Jaguar,XF,,,White,,"£8,692",,"£8,933","£8,272"
AV04DJO,2021-04-06,average,6.1,"48,000",1,partial,Renault,Clio,,,Grey,,"£3,792",,"£3,476","£3,337"
RE09WVG,2021-04-06,average,11.8,"155,000",2,partial,Ford,Fiesta,,,Red,,£515,,£439,£634
RO57LFR,2021-04-06,poor,13.6,"89,000",1,full,Volkswagen,Golf,,,Grey,,"£1,378",,£921,"£1,010"
DG64PHJ,2021-04-06,good,6.6,"63,000",2,partial,Audi,A7,,,Black,,"£13,809",,"£13,545","£11,045"
BJ16NPY,2021-04-06,poor,5,"60,000",0,partial,Ford,Focus,,,Red,,"£5,264",,"£4,363","£3,854"
VE62YAV,2021-04-06,poor,8.3,"41,000",2,full,Nissan,Juke,,,Grey,,"£4,075",,"£3,140","£2,984"
NX63ACZ,2021-04-06,good,7.5,"70,040",2,full,SEAT,Leon,,,Red,,"£5,551",,"£4,702","£4,676"
S31PSR,2021-04-06,excellent,11.4,"85,000",1,full,Mercedes-Benz,E Class,,,White,,"£3,994",,"£4,595","£4,253"
YC11JXM,2021-04-06,average,9.8,"79,000",3,full,Land Rover,Range Rover,,,Black,,"£12,011",,"£11,211","£10,011"
EK09TLF,2021-04-06,average,12,"102,000",1,partial,Honda,CR-V,,,Silver,,"£2,474",,"£1,836","£2,162"
AV12XWH,2021-04-06,good,8.8,"82,000",2,full,Volkswagen,Passat,,,Grey,,"£3,166",,"£2,559","£2,867"
SH13VXJ,2021-04-06,good,7.9,"49,800",1,none,Chrysler,Ypsilon,,,Red,,"£1,348",,£793,"£1,339"
WP59ULH,2021-04-06,average,11.3,"55,000",2,partial,Ford,Focus,,,Grey,,"£1,928",,"£1,195","£1,715"
MA63WPV,2021-04-06,good,7.5,"38,500",1,partial,Fiat,500,,,Blue,,"£3,082",,"£2,563","£3,008"
S11KRN,2021-04-06,poor,8.6,"55,000",2,none,Fiat,Punto,,,White,,"£1,383",,£863,"£1,128"
SB08HNK,2021-04-06,poor,12.9,"70,000",3,none,Fiat,Grande Punto,,,Grey,,£481,,£297,£329
FR11PMU,2021-04-06,poor,9.7,"125,000",1,full,Volkswagen,Golf,,,Blue,,"£1,913",,"£1,545","£1,692"
EY61TFF,2021-04-06,good,9.4,"143,150",4,partial,Honda,Insight,,,White,,"£2,279",,"£1,636","£2,162"
TF07RYO,2021-04-06,poor,13.8,"50,000",2,partial,Fiat,Panda,,,Blue,,£532,,£388,£376
VO58ULJ,2021-04-06,average,12.2,"70,100",1,partial,MINI,Hatch,,,Black,,"£1,494",,"£1,018","£1,292"
VK11WUV,2021-04-06,poor,9.9,"54,436",2,partial,Fiat,500,,,Silver,,"£2,089",,"£1,524","£1,480"
CV60UBW,2021-04-06,average,10.6,"154,614",2,partial,Renault,Clio,,,Black,,£152,,£206,£329
EN12YLA,2021-04-06,excellent,8.7,"150,000",3,full,BMW,5 Series,,,Grey,,"£3,624",,"£3,825","£3,642"
SD58MDY,2021-04-06,poor,12.5,"72,000",2,full,Vauxhall,Corsa,,,Silver,,£843,,£430,£540
MJ61GWY,2021-04-06,good,9.3,"111,000",1,partial,Ford,Grand C-Max,,,White,,"£2,348",,"£2,223","£2,350"
DS13FUA,2021-04-06,average,7.9,"175,800",3,none,Vauxhall,Insignia,,,Silver,,£568,,£369,£587
JU57NMS,2021-04-06,good,6.2,"70,000",1,full,Volkswagen,Golf,,,Blue,,"£13,478",,"£12,759","£12,267"
HY57WSJ,2021-04-06,average,13.6,"76,000",4,partial,Renault,Clio,,,Black,,£404,,£356,£376
LC57WWR,2021-04-06,poor,13.4,"85,192",4,none,Kia,Sedona,,,Black,,£940,,£356,£517
VU15GFO,2021-04-06,good,6,"90,000",0,none,Vauxhall,Insignia,,,Black,,"£3,381",,"£2,926","£3,243"
WJ63PLN,2021-04-06,good,7.6,"90,000",2,partial,Volkswagen,Polo,,,Blue,,"£2,909",,"£2,277","£2,820"
GL62OSB,2021-04-06,good,8.2,"81,000",3,partial,Hyundai,Veloster,,,Red,,"£3,556",,"£2,968","£3,102"
